Worker ID, File, Total Time (ms), lateFile?, totalSpans, parser nodes, typer nodes, LoC, LoC/s
0, src/main/scala/org/carbonateresearch/conus/DiageneSim.scala, 2829, false, 81, 422, 804, 55, 19
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/CalculationResults.scala, 1793, false, 83, 317, 739, 20, 11
1, src/main/scala/org/carbonateresearch/conus/calculationparameters/ParalleledCPs.scala, 1426, false, 54, 114, 305, 15, 11
1, src/main/scala/org/carbonateresearch/conus/calculationparameters/ApplyFunction.scala, 1241, false, 141, 1068, 1274, 110, 89
2, src/main/scala/org/carbonateresearch/conus/common/ParrallelModellerDispatcherActor.scala, 1133, false, 68, 299, 503, 56, 49
2, src/main/scala/org/carbonateresearch/conus/common/ChainableCalculation.scala, 986, false, 79, 339, 696, 46, 47
2, src/main/scala/org/carbonateresearch/conus/implicits/NumberWrapper.scala, 769, false, 129, 817, 773, 51, 66
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/AgesFromMaxMinCP.scala, 768, false, 52, 97, 309, 10, 13
2, src/main/scala/org/carbonateresearch/conus/calculationparameters/BurialDepthCP.scala, 737, false, 45, 83, 244, 9, 12
0, src/main/scala/org/carbonateresearch/conus/calculationparameters/InterpolatorCP.scala, 623, false, 75, 282, 601, 35, 56
1, src/main/scala/org/carbonateresearch/conus/common/ParrallelModellerCollectorActor.scala, 614, false, 48, 176, 362, 39, 64
1, src/main/scala/org/carbonateresearch/conus/calculationparameters/Initializer.scala, 490, false, 45, 74, 251, 9, 18
1, src/main/scala/org/carbonateresearch/conus/calculationparameters/InitializeValues.scala, 452, false, 62, 246, 442, 21, 46
2, src/main/scala/org/carbonateresearch/conus/clumpedThermalModels/PasseyHenkesClumpedDiffusionModel.scala, 440, false, 56, 259, 636, 20, 45
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/parametersIO/CalculationParametersIOLabels.scala, 384, false, 69, 106, 484, 14, 36
0, src/main/scala/org/carbonateresearch/conus/calculationparameters/BurialTemperatureCP.scala, 329, false, 46, 104, 299, 10, 30
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/parametersIO/PreviousZeroHandle.scala, 327, false, 60, 73, 561, 7, 21
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/GeothermalGradientHistoryCP.scala, 322, false, 45, 83, 244, 9, 28
3, src/main/scala/org/carbonateresearch/conus/calculationparameters/SurfaceTemperaturesHistoryCP.scala, 319, false, 45, 83, 244, 9, 28
2, src/main/scala/org/carbonateresearch/measurementvalues/NumberWithErrors.scala, 312, false, 54, 90, 322, 11, 35
3, src/main/scala/org/carbonateresearch/conus/common/Stepper.scala, 309, false, 54, 115, 363, 14, 45
2, src/main/scala/org/carbonateresearch/conus/calculationparameters/parametersIO/Previous.scala, 262, false, 58, 87, 358, 7, 27
0, src/main/scala/org/carbonateresearch/conus/common/ModelCalculationSpace.scala, 230, false, 61, 151, 394, 26, 113
0, src/main/scala/org/carbonateresearch/conus/common/ParrallelModellerRunnerActor.scala, 187, false, 33, 52, 143, 14, 75
1, src/main/scala/org/carbonateresearch/conus/calculationparameters/CalculationParameters.scala, 176, false, 35, 55, 45, 10, 57
0, src/main/scala/org/carbonateresearch/conus/calculationparameters/MultiplierFromStepsCP.scala, 153, false, 64, 94, 392, 10, 65
1, src/main/scala/org/carbonateresearch/conus/common/ModelCalibration.scala, 129, false, 41, 43, 208, 4, 31
0, src/main/scala/org/carbonateresearch/conus/calculationparameters/parametersIO/StandardsIOLabels.scala, 96, false, 31, 44, 59, 8, 83
