Time, Tag, Workers, Files, Compilation Duration (ms), GC Duration (ms)
2019/09/13 13:06:23,        diagenesissim/main,   4,    49,      2677,       111
2019/09/13 13:14:30,        diagenesissim/main,   1,     1,      3685,        70
2019/09/13 13:33:09,        diagenesissim/main,   1,     1,      1377,        20
2019/09/13 13:39:27,        diagenesissim/main,   1,     1,       769,         0
2019/09/13 13:46:02,        diagenesissim/main,   1,     1,       827,         0
2019/09/13 13:57:33,        diagenesissim/main,   3,     3,      1175,        48
2019/09/13 13:58:52,        diagenesissim/main,   2,     2,       725,        43
2019/09/13 15:08:00,        diagenesissim/main,   1,     1,       390,         0
2019/09/13 15:08:27,        diagenesissim/main,   1,     1,       360,         0
2019/09/13 15:11:52,        diagenesissim/main,   1,     1,       649,        37
2019/09/13 15:49:53,        diagenesissim/main,   3,     3,       785,         0
2019/09/13 15:52:40,        diagenesissim/main,   4,     8,      1072,        34
2019/09/13 16:05:02,        diagenesissim/main,   4,    28,      8272,       409
2019/09/13 16:10:27,        diagenesissim/main,   4,    28,      5651,       353
2019/09/13 16:42:39,        diagenesissim/main,   1,     1,      1110,        32
2019/09/13 16:43:47,        diagenesissim/main,   1,     1,      1047,        44
2019/09/13 16:44:18,        diagenesissim/main,   1,     1,      1012,        80
2019/09/13 16:51:36,        diagenesissim/main,   1,     1,       635,        34
2019/09/13 16:51:37,        diagenesissim/main,   1,     1,       934,        14
2019/09/13 16:55:08,        diagenesissim/main,   1,     1,       535,         0
2019/09/13 16:56:12,        diagenesissim/main,   1,     1,       630,        46
2019/09/21 22:18:51,        diagenesissim/main,   1,     1,      3528,        54
2019/09/21 22:18:57,        diagenesissim/main,   3,     3,      3364,       144
2019/09/22 02:56:39,        diagenesissim/main,   2,     2,      2387,       214
2019/09/22 02:59:59,        diagenesissim/main,   1,     1,      1076,        87
2019/09/22 03:01:56,        diagenesissim/main,   1,     1,       397,         0
2019/09/23 04:26:13,        diagenesissim/main,   1,     1,      5402,       104
2019/09/29 00:33:08,        diagenesissim/main,   4,     5,      2878,       352
2019/09/29 01:08:58,        diagenesissim/main,   4,     4,      2420,       242
2019/09/29 01:09:54,        diagenesissim/main,   1,     1,      1539,       133
2019/09/29 01:19:17,        diagenesissim/main,   2,     2,      1376,        31
2019/09/29 01:19:19,        diagenesissim/main,   1,     1,       518,         0
2019/09/29 10:33:18,        diagenesissim/main,   1,     1,       624,        30
2019/09/29 10:34:13,        diagenesissim/main,   2,     2,      1177,        84
2019/09/29 10:35:11,        diagenesissim/main,   1,     1,      1491,        30
2019/09/29 10:39:39,        diagenesissim/main,   1,     1,       568,        25
2019/09/29 10:40:20,        diagenesissim/main,   2,     2,       946,        79
2019/10/03 16:02:27,        diagenesissim/main,   4,     5,      7445,       424
2019/10/06 15:55:17,        diagenesissim/main,   2,     2,      4302,       212
2019/10/06 15:55:22,        diagenesissim/main,   1,     1,       602,         0
2019/10/07 09:41:25,        diagenesissim/main,   4,     8,      3271,       213
2019/10/07 09:41:30,        diagenesissim/main,   3,     3,      2180,       217
2019/10/07 09:42:03,        diagenesissim/main,   1,     1,      1374,        44
2019/10/07 16:47:52,        diagenesissim/main,   2,     2,      1369,        93
2019/10/07 16:47:54,        diagenesissim/main,   1,     1,       681,        24
2019/10/07 16:48:26,        diagenesissim/main,   1,     1,       453,         0
2019/10/07 16:49:41,        diagenesissim/main,   2,     2,      1197,        48
2019/10/07 16:49:43,        diagenesissim/main,   1,     1,       473,         0
2019/10/07 16:50:07,        diagenesissim/main,   1,     1,       926,        68
2019/10/07 16:51:11,        diagenesissim/main,   1,     1,       647,        66
2019/10/07 16:51:37,        diagenesissim/main,   1,     1,       672,        18
2019/10/07 16:52:34,        diagenesissim/main,   1,     1,       804,        39
2019/10/07 16:54:05,        diagenesissim/main,   1,     1,       819,        14
2019/10/14 18:38:30,        diagenesissim/main,   2,     2,      5179,       184
2019/10/16 08:18:01,        diagenesissim/main,   1,     1,      5415,        80
2019/10/16 08:21:44,        diagenesissim/main,   2,     2,      2804,       118
2019/10/16 08:22:23,        diagenesissim/main,   1,     1,      1034,        68
2019/10/16 10:19:01,        diagenesissim/main,   1,     1,       873,        57
2019/10/16 10:19:24,        diagenesissim/main,   1,     1,      1196,        47
2019/10/16 10:20:11,        diagenesissim/main,   1,     1,       891,        60
2019/10/16 10:20:55,        diagenesissim/main,   1,     1,       988,        53
2019/10/16 10:23:45,        diagenesissim/main,   1,     1,       894,        65
2019/10/16 10:26:10,        diagenesissim/main,   1,     1,       827,        51
2019/10/16 15:40:01,        diagenesissim/main,   4,     4,      6375,       236
